NO,Department,Degree,Course Number,Section,Course Title,Instructor,Classification,Course Type,Theory/Lab,Course Category,Course Fields,Course Areas,Track,Degree Classification,Grade Method,Credit,Theo,Lab,Code Share,Delivered in English,Day/Time/Class Room,Prerequisite Course,Remarks
1,School of Undergraduate Studies,ALL,BE101a,01,Introduction to Programming - Introduction to Programming,Jisoo Mok,Basic compulsory course,Course Study,Theory&Lab,Basic,Basic Engineering,Computer Engineering,,,Grade,3.0,2.0,2.0,N,Y,"Tue09:00-11:00(E7 - 233), Thu09:00-11:00(E7 - 233)",,목요일 09시-11시 실습 수업 일괄 진행
2,School of Undergraduate Studies,ALL,BE202,01,Introduction to Data Science - Introduction to Data Science,Jun-Gi Jang,Basic compulsory course,Course Study,Theory&Lab,Basic,Basic Engineering,Computer Engineering,,,Grade,3.0,2.0,2.0,N,Y,"Tue13:00-15:00(E7 - 233), Thu13:00-15:00(E7 - 233)",,
3,School of Undergraduate Studies,ALL,BE202,02,Introduction to Data Science - Introduction to Data Science,Hyunjae Gil,Basic compulsory course,Course Study,Theory&Lab,Basic,Basic Engineering,Computer Engineering,,,Grade,3.0,2.0,2.0,N,Y,"Mon15:00-17:00(E7 - 233), Wed15:00-17:00(E7 - 233)",,
4,School of Undergraduate Studies,ALL,BE203,01,Creative mechanical design - Creative mechanical design,Joon-Hyuk Park,Basic compulsory course,Course Study,Theory,Basic,Basic Engineering,Engineering Selection,,,Grade,3.0,3.0,0.0,N,N,Fri09:00-12:00(E7 - 307),,
5,School of Undergraduate Studies,ALL,BE203,02,Creative mechanical design - Creative mechanical design,Sukho Song,Basic compulsory course,Course Study,Theory,Basic,Basic Engineering,Engineering Selection,,,Grade,3.0,3.0,0.0,N,Y,Mon14:30-17:30(E7 - 307),,
6,School of Undergraduate Studies,ALL,BE205,01,Circuit Theory and Measurement (Lecture) - Circuit Theory and Measurement (Lecture),"Lee, Jung Hyup",Basic compulsory course,Course Study,Theory,Basic,Basic Engineering,Engineering Selection,,,Grade,2.0,2.0,0.0,N,Y,Thu17:00-19:00(E7 - 236),,
7,School of Undergraduate Studies,ALL,BE205,02,Circuit Theory and Measurement (Lecture) - Circuit Theory and Measurement (Lecture),"Song, Minyoung",Basic compulsory course,Course Study,Theory,Basic,Basic Engineering,Engineering Selection,,,Grade,2.0,2.0,0.0,N,Y,Tue17:00-19:00(E7 - 236),,
8,School of Undergraduate Studies,ALL,BR301,01,Brain Science LabⅠ - Brain Science LabⅠ,"Cho, Yongcheol, Kim, Kyu Hyung , Oh, Yong Seok",Advanced compulsory course,Course Study,Lab,Advanced,Major,Track,,Bachelor of Science,Grade,3.0,0.0,3.0,N,Y,Fri09:00-12:00(E4 - 225),,
9,School of Undergraduate Studies,ALL,BR403,01,Neuroregeneration and Degeneration - Neuroregeneration and Degeneration,"Cho, Yongcheol",Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,Bachelor of Science,Grade,3.0,3.0,0.0,N,Y,"Tue14:30-16:00(E7 - L21), Thu14:30-16:00(E7 - L21)",,신규개설
10,School of Undergraduate Studies,ALL,BR404,01,Learning and Memory - Learning and Memory,Pojeong Park,Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,Bachelor of Science,Grade,3.0,3.0,0.0,N,Y,"Tue16:30-18:00(E7 - L21), Thu16:30-18:00(E7 - L21)",,신규개설
11,School of Undergraduate Studies,ALL,BS102a,01,Engineering MathematicsⅠ - Engineering Mathematics I,"Ahn, Heung Ju",Basic compulsory course,Course Study,Theory&Lab,Basic,Basic Science,Mathematics,,,Grade,3.0,3.0,1.0,N,Y,"Tue13:00-15:00(E7 - 223), Thu13:00-15:00(E7 - 223)",,
12,School of Undergraduate Studies,ALL,BS102a,02,Engineering MathematicsⅠ - Engineering Mathematics I,Hudson Thomas Bryan,Basic compulsory course,Course Study,Theory&Lab,Basic,Basic Science,Mathematics,,,Grade,3.0,3.0,1.0,N,Y,"Tue16:30-18:30(E7 - 223), Thu16:30-18:30(E7 - 223)",,
13,School of Undergraduate Studies,ALL,BS102a,03,Engineering MathematicsⅠ - Engineering Mathematics I,Carlos Scarinci,Basic compulsory course,Course Study,Theory&Lab,Basic,Basic Science,Mathematics,,,Grade,3.0,3.0,1.0,N,Y,"Mon09:00-11:00(E7 - L21), Wed09:00-11:00(E7 - L21)",,
14,School of Undergraduate Studies,ALL,BS102a,04,Engineering MathematicsⅠ - Engineering Mathematics I,Carlos Scarinci,Basic compulsory course,Course Study,Theory&Lab,Basic,Basic Science,Mathematics,,,Grade,3.0,3.0,1.0,N,Y,"Mon16:00-18:00(E7 - 223), Wed16:00-18:00(E7 - 223)",,
15,School of Undergraduate Studies,ALL,BS102a,05,Engineering MathematicsⅠ - Engineering Mathematics I,Unassigned,Basic compulsory course,Course Study,Theory&Lab,Basic,Basic Science,Mathematics,,,Grade,3.0,3.0,1.0,N,Y,"Tue11:00-13:00(E7 - 223), Thu11:00-13:00(E7 - 223)",,
16,School of Undergraduate Studies,ALL,BS103a,01,General PhysicsⅠ - General PhysicsⅠ,DEVECIOGLU DENIZ OLGU,Basic compulsory course,Course Study,Theory,Basic,Basic Science,Physics,,,Grade,3.0,3.0,0.0,N,Y,"Tue15:00-16:30(E7 - 241), Thu15:00-16:30(E7 - 241)",,
