course_number,section,name,professor,status,available,reason,response_bytes
BE101a,01,프로그래밍,김기섭,available,Y,,2970
BE204,01,화학공학개론,김운혁,available,Y,,2129
BE206,01,회로이론과 계측법(실습),송민영,available,Y,,2572
BE206,02,회로이론과 계측법(실습),이정협,available,Y,,4412
BE206,03,회로이론과 계측법(실습),윤종혁,available,Y,,1709
BE206,04,회로이론과 계측법(실습),김가인,available,Y,,2320
BE206,05,회로이론과 계측법(실습),유재석,empty,N,empty_response,0
BE206,06,회로이론과 계측법(실습),이경태,empty,N,empty_response,0
BR201,01,신경과학Ⅰ(이),"서병창, 정한빈, 엄지원",available,Y,,3060
BR202,01,신경과학Ⅱ(이),"현정호, 이효상, 최한경",available,Y,,3291
BR302,01,"뇌공학개론(이,공)","이광, 조용철",available,Y,,1726
BR303,01,뇌과학실험Ⅱ(이),"유우경, 이광, 최한경",available,Y,,2008
BR306,01,인지뇌과학개론(이),"현정호, 최한경",available,Y,,15787
BR307,01,뇌과학 특강(이),최한경,available,Y,,1873
BR402,01,신경생리학(이),박포정,available,Y,,2102
BR406,01,시스템 뇌과학(이),"이효상, 오용석",available,Y,,2301
BR407,01,인공지능과 뇌과학(이),김민환,available,Y,,3987
BS101,01,다변수 미적분학,이두석,available,Y,,3124
BS101,02,다변수 미적분학,안흥주,available,Y,,4810
BS101,03,다변수 미적분학,한강진,available,Y,,2173
BS101,04,다변수 미적분학,Carlos Scarinci,available,Y,,3228
BS101,05,다변수 미적분학,Carlos Scarinci,available,Y,,3232
BS102a,01,공학수학Ⅰ,Hudson Thomas Bryan,available,Y,,3458
BS105a,01,일반물리Ⅱ,DEVECIOGLU DENIZ OLGU,available,Y,,4854
BS105a,02,일반물리Ⅱ,DEVECIOGLU DENIZ OLGU,available,Y,,4854
BS105a,03,일반물리Ⅱ,DEVECIOGLU DENIZ OLGU,available,Y,,4854
BS105a,04,일반물리Ⅱ,유천열,available,Y,,3224
BS106a,01,일반물리실험Ⅱ,김동렬,available,Y,,2760
BS106a,02,일반물리실험Ⅱ,김동렬,available,Y,,2760
BS106a,03,일반물리실험Ⅱ,김동렬,available,Y,,2760
BS106a,04,일반물리실험Ⅱ,김동렬,available,Y,,2760
BS106a,05,일반물리실험Ⅱ,김동렬,available,Y,,2760
BS106a,06,일반물리실험Ⅱ,박기성,available,Y,,3053
BS113,01,일반화학실험Ⅰ,민은선,available,Y,,3829
BS113,02,일반화학실험Ⅰ,민은선,available,Y,,3829
BS113,03,일반화학실험Ⅰ,민은선,available,Y,,3829
BS113,04,일반화학실험Ⅰ,민은선,available,Y,,3829
BS113,05,일반화학실험Ⅰ,민은선,available,Y,,3829
BS113,06,일반화학실험Ⅰ,Desta Kebede Taye,available,Y,,2489
BS113,07,일반화학실험Ⅰ,Desta Kebede Taye,available,Y,,2489
BS113,08,일반화학실험Ⅰ,Desta Kebede Taye,available,Y,,2489
BS114,01,생명과학개론,예경무,available,Y,,1685
BS114,02,생명과학개론,Felix Jonas,available,Y,,1687
BS115,01,일반생물학 실험,이석규,available,Y,,1457
BS115,02,일반생물학 실험,박포정,available,Y,,2500
BS115,03,일반생물학 실험,조정아,available,Y,,2863
BS115,04,일반생물학 실험,조정아,available,Y,,2863
BS115,05,일반생물학 실험,조정아,available,Y,,2863
BS115,06,일반생물학 실험,조정아,available,Y,,2863
